0.49064,0.18408,0.11229,0.3713,0.31344,0.08168,0.2986,0.14838,0.1027,0.50268
0.49099,0.25564,0.096093,0.39957,0.29533,0.13757,0.37264,0.14145,0.098669,0.39702
0.50062,0.32555,0.088225,0.40414,0.33045,0.18911,0.40049,0.16077,0.093246,0.35425
0.50813,0.3277,0.09539,0.37848,0.3909,0.204,0.35096,0.19354,0.095026,0.40338
0.49369,0.25109,0.11009,0.35509,0.44101,0.19558,0.25002,0.21242,0.10724,0.48136
0.45115,0.16249,0.11767,0.38486,0.46382,0.20146,0.16819,0.21241,0.12427,0.50255
0.39605,0.15198,0.11207,0.48908,0.46808,0.24365,0.16593,0.2271,0.13717,0.44278
0.35181,0.25152,0.10488,0.62845,0.47226,0.31058,0.24633,0.30027,0.14227,0.35341
0.32914,0.40605,0.1179,0.72291,0.48359,0.37411,0.35867,0.43763,0.14385,0.29888
0.31987,0.5249,0.16502,0.70962,0.49295,0.41751,0.44644,0.58913,0.14844,0.29007
0.30984,0.56099,0.23932,0.58969,0.4883,0.44324,0.49172,0.6846,0.15736,0.28429
0.29535,0.54021,0.31641,0.42407,0.47038,0.45696,0.515,0.69108,0.16545,0.24493
0.28501,0.51795,0.37021,0.28524,0.45392,0.45249,0.53764,0.6368,0.16709,0.18871
0.28627,0.51447,0.38719,0.2094,0.45409,0.41957,0.55119,0.57904,0.16251,0.16581
0.29382,0.49856,0.36911,0.1874,0.47356,0.36577,0.5263,0.54891,0.15721,0.19708
0.29448,0.43217,0.32606,0.19213,0.50303,0.32268,0.44901,0.52793,0.15525,0.24327
0.28416,0.32245,0.26939,0.20812,0.53212,0.32133,0.34265,0.47674,0.15407,0.24636
0.27727,0.22183,0.21024,0.23535,0.55646,0.35778,0.25089,0.38283,0.14701,0.20007
0.29576,0.17651,0.16054,0.27276,0.5732,0.38693,0.20083,0.27676,0.1311,0.16878
0.34713,0.18147,0.13035,0.308,0.57255,0.35802,0.18602,0.20247,0.11169,0.22597
0.41393,0.19211,0.12141,0.32775,0.53977,0.26222,0.18572,0.17545,0.098391,0.37211
0.46689,0.17871,0.12405,0.33441,0.47008,0.14621,0.19528,0.17339,0.096105,0.52006
0.48961,0.16138,0.12357,0.34529,0.38223,0.075784,0.23034,0.16596,0.10049,0.57003
0.50595,0.13479,0.11174,0.34012,0.4742,0.26816,0.15766,0.28392,0.086793,0.3324
0.49396,0.17204,0.10957,0.33748,0.48364,0.26042,0.086085,0.2583,0.090943,0.35171
0.47239,0.229,0.11313,0.31876,0.39861,0.246,0.083657,0.18719,0.092428,0.35102
0.45987,0.24555,0.12242,0.30545,0.27286,0.24512,0.14386,0.11483,0.088417,0.33781
0.45151,0.20499,0.12958,0.31795,0.19703,0.2561,0.20203,0.08703,0.083817,0.32118
0.43173,0.16168,0.12638,0.36569,0.22268,0.26397,0.20194,0.12057,0.085296,0.30396
0.39644,0.19251,0.11445,0.44351,0.32406,0.26626,0.15522,0.20311,0.092516,0.28222
0.35904,0.31922,0.10775,0.53453,0.42847,0.2825,0.13241,0.31282,0.097251,0.25207
0.33497,0.48172,0.12365,0.61635,0.48089,0.33303,0.19458,0.43195,0.092714,0.21643
